03-23 15:31:22.510: E/dalvikvm(4116): Could not find class 'android.support.v4.app.FragmentActivity', referenced from method com.robotium.solo.Waiter.getSupportFragment
03-23 15:31:23.662: E/OpenGLRenderer(4116): Getting MAX_TEXTURE_SIZE from GradienCache
03-23 15:31:23.726: E/OpenGLRenderer(4116): Getting MAX_TEXTURE_SIZE from Caches::initConstraints()
03-23 15:31:24.250: E/AndroidRuntime(4116): FATAL EXCEPTION: main
03-23 15:31:24.250: E/AndroidRuntime(4116): java.lang.NullPointerException: uriString
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at android.net.Uri$StringUri.<init>(Uri.java:468)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at android.net.Uri$StringUri.<init>(Uri.java:458)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at android.net.Uri.parse(Uri.java:430)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at course.labs.contentproviderlab.PlaceViewAdapter.add(PlaceViewAdapter.java:140)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at course.labs.contentproviderlab.PlaceViewAdapter.swapCursor(PlaceViewAdapter.java:76)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at course.labs.contentproviderlab.PlaceViewActivity.onLoadFinished(PlaceViewActivity.java:224)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at course.labs.contentproviderlab.PlaceViewActivity.onLoadFinished(PlaceViewActivity.java:1)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at android.app.LoaderManagerImpl$LoaderInfo.callOnLoadFinished(LoaderManager.java:483)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at android.app.LoaderManagerImpl$LoaderInfo.onLoadComplete(LoaderManager.java:451)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at android.content.Loader.deliverResult(Loader.java:144)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at android.content.CursorLoader.deliverResult(CursorLoader.java:110)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at android.content.CursorLoader.deliverResult(CursorLoader.java:43)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at android.content.AsyncTaskLoader.dispatchOnLoadComplete(AsyncTaskLoader.java:256)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at android.content.AsyncTaskLoader$LoadTask.onPostExecute(AsyncTaskLoader.java:91)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at android.os.AsyncTask.finish(AsyncTask.java:631)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at android.os.AsyncTask.access$600(AsyncTask.java:177)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at android.os.AsyncTask$InternalHandler.handleMessage(AsyncTask.java:644)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at android.os.Handler.dispatchMessage(Handler.java:99)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at android.os.Looper.loop(Looper.java:137)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at android.app.ActivityThread.main(ActivityThread.java:5103)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at java.lang.reflect.Method.invokeNative(Native Method)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at java.lang.reflect.Method.invoke(Method.java:525)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:737)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:553)
03-23 15:31:24.250: E/AndroidRuntime(4116): 	at dalvik.system.NativeStart.main(Native Method)
